max_flood_level_nne_2_10,0,0,0,0,0,0,0,0,0,0
max_flood_level_nne_2_15,0,0,0,0,0,0,0,0,0,0
max_flood_level_nne_2_25,0,0,0,0,0,0,0,0,0,0
max_flood_level_nne_3_05,0,0,0,3,0,0,0,0,0,0
max_flood_level_nne_3_10,0,0,0,2,0,0,0,0,0,0
max_flood_level_nne_3_15,0,0,0,2,0,0,0,0,0,0
max_flood_level_nne_3_25,0,0,0,1,0,0,0,0,0,0
max_flood_level_nne_4_05,2,2,0,5,0,0,0,0,0,0
max_flood_level_nne_4_10,0,1,0,5,0,0,0,0,0,0
max_flood_level_nne_4_15,0,0,0,5,0,0,0,0,0,0
max_flood_level_nne_4_25,0,0,0,3,0,0,0,0,0,0
max_flood_level_nne_5_05,5,4,1,6,0,0,0,0,0,1
max_flood_level_nne_5_10,2,3,0,6,0,0,0,0,0,0
max_flood_level_nne_5_15,0,3,0,6,0,0,0,0,0,0
max_flood_level_nne_5_25,0,1,0,6,0,0,0,0,0,0
